side,entry_i,exit_i,entry_px,exit_px,hold_h,reason,gross,cost,net,exit_ts
long,10093,10127,96782.0,101913.37008675118,136.0,stop_loss,53.01988062605836,2.05,50.96988062605836,1747065600000
long,10163,10164,105480.6,103346.03753155252,4.0,stop_loss,-20.23654082786303,1.2249999999999999,-21.461540827863033,1747598400000
long,10165,10166,106435.0,103059.43974592166,4.0,stop_loss,-31.714757871737152,1.2249999999999999,-32.93975787173715,1747627200000
long,10181,10192,108929.9,107632.16091409372,44.0,stop_loss,-11.913524990900319,1.475,-13.388524990900319,1748001600000
short,10272,10276,101872.2,104760.26365399937,16.0,stop_loss,-28.349870268820858,1.3,-29.64987026882086,1749211200000
long,10296,10310,108517.3,107360.56278706882,56.0,stop_loss,-10.659472848395456,1.55,-12.209472848395457,1749700800000
short,10362,10378,103251.2,102488.77215827441,64.0,stop_loss,7.384203202728729,1.6,5.78420320272873,1750680000000
long,10414,10420,108428.2,106925.21692542589,24.0,stop_loss,-13.861551465154873,1.35,-15.211551465154873,1751284800000
long,10434,10463,109627.5,107579.15704854336,116.0,stop_loss,-18.684572314945047,1.925,-20.609572314945048,1751904000000
long,10476,10507,111710.9,119186.79200865941,124.0,stop_loss,66.92177763010964,1.975,64.94677763010965,1752537600000
short,10614,10630,113271.0,115208.00800191831,64.0,stop_loss,-17.1006524345888,1.6,-18.7006524345888,1754308800000
long,10664,10673,118518.6,118552.38447749059,36.0,stop_loss,0.28505633285056103,1.425,-1.139943667149439,1754928000000
long,10686,10690,122772.2,120023.64941047874,16.0,stop_loss,-22.38740194865984,1.3,-23.68740194865984,1755172800000
short,10712,10738,115257.3,114797.52275964494,104.0,stop_loss,3.989137697612754,1.85,2.139137697612754,1755864000000
short,10759,10772,110074.0,113178.1134086294,52.0,stop_loss,-28.200241734009886,1.525,-29.725241734009884,1756353600000
short,10781,10797,108333.8,109835.89195188675,64.0,stop_loss,-13.865404443366197,1.6,-15.465404443366197,1756713600000
long,10845,10846,112963.0,110730.42222955855,4.0,stop_loss,-19.76379673381063,1.2249999999999999,-20.98879673381063,1757419200000
long,10853,10882,113817.0,114313.2581610106,116.0,stop_loss,4.360140936860039,1.925,2.435140936860039,1757937600000
long,10890,10895,116764.0,114946.73329496165,20.0,stop_loss,-15.563587278941679,1.325,-16.888587278941678,1758124800000
long,10898,10921,117546.9,114978.69602130874,92.0,stop_loss,-21.848334398365676,1.775,-23.623334398365675,1758499200000
short,10944,10962,109326.8,110716.58113808067,72.0,stop_loss,-12.712172478117598,1.65,-14.362172478117598,1759089600000
long,10992,11014,122596.4,122230.28018018897,88.0,stop_loss,-2.9863831222696704,1.75,-4.73638312226967,1759838400000
short,11069,11089,108489.8,109456.86321648728,80.0,stop_loss,-8.913863022028618,1.7,-10.613863022028617,1760918400000
long,11128,11142,113247.9,112538.59103928406,56.0,stop_loss,-6.263329922373258,1.55,-7.813329922373258,1761681600000
short,11177,11213,105701.6,104399.97886409657,144.0,stop_loss,12.314110059861298,2.1,10.214110059861298,1762704000000
short,11232,11276,101240.9,92911.02497272623,176.0,stop_loss,82.27776548088536,2.3,79.97776548088537,1763611200000
short,11280,11303,86878.8,88653.66602381655,92.0,stop_loss,-20.42921890975182,1.775,-22.20421890975182,1764000000000
long,11394,11401,93761.8,90000.00419735834,28.0,stop_loss,-40.12077202700524,1.375,-41.49577202700524,1765411200000
short,11425,11440,88114.5,89010.65230314326,60.0,stop_loss,-10.170315931467112,1.575,-11.745315931467111,1765972800000
short,11448,11452,84433.0,88828.99008811635,16.0,stop_loss,-52.06483351434093,1.3,-53.36483351434093,1766145600000
long,11536,11561,89452.5,91797.81439084231,100.0,stop_loss,26.21854493549435,1.825,24.39354493549435,1767715200000
long,11603,11634,93412.2,94040.84322105681,124.0,stop_loss,6.7297764216752896,1.975,4.75477642167529,1768766400000
short,11646,11680,89679.9,88563.2681998757,136.0,stop_loss,12.451305143340825,2.05,10.401305143340824,1769428800000
short,11699,11747,84901.5,69198.33792696356,192.0,stop_loss,184.95741621804606,2.4000000000000004,182.55741621804606,1770393600000
short,11775,11793,67000.1,69525.39492155385,72.0,stop_loss,-37.69091272332189,1.65,-39.340912723321885,1771056000000
short,11820,11857,66138.2,65909.7449128443,148.0,stop_loss,3.454207812666512,2.125,1.3292078126665121,1771977600000
short,11877,11880,63788.1,66945.59437412415,12.0,stop_loss,-49.49974014156483,1.275,-50.77474014156483,1772308800000
long,11902,11914,71088.4,68968.18786925996,48.0,stop_loss,-29.82500845060569,1.5,-31.32500845060569,1772798400000
short,11929,11932,65942.4,68482.5468844379,12.0,stop_loss,-38.52069206516464,1.275,-39.79569206516464,1773057600000
long,11939,11986,71305.5,72052.7582143452,188.0,stop_loss,10.479671474783878,2.375,8.104671474783878,1773835200000
short,12010,12015,68182.1,70160.40180714511,20.0,stop_loss,-29.01497324290551,1.325,-30.339973242905508,1774252800000
short,12040,12058,66659.9,68047.96974205477,72.0,stop_loss,-20.823159681529383,1.65,-22.47315968152938,1774872000000
long,12109,12133,71904.7,71703.98430214233,96.0,stop_loss,-2.7914127707600156,1.8,-4.591412770760016,1775952000000
long,12145,12179,74385.4,74751.962369979,136.0,stop_loss,4.927880605320416,2.05,2.8778806053204162,1776614400000
long,12194,12226,77493.8,77285.64785695323,128.0,stop_loss,-2.6860489877482996,2.0,-4.6860489877483,1777291200000
long,12266,12267,80284.7,78311.7323006163,4.0,stop_loss,-24.57464123779115,1.2249999999999999,-25.79964123779115,1777881600000
long,12272,12286,80848.6,80032.54423759336,56.0,stop_loss,-10.093628861930103,1.55,-11.643628861930104,1778155200000
long,12307,12316,82182.9,80366.32404853699,36.0,stop_loss,-22.104062420077714,1.425,-23.529062420077715,1778587200000
short,12339,12384,78333.4,76659.26681951876,180.0,stop_loss,21.371894753467053,2.325,19.046894753467054,1779566400000
short,12409,12474,74414.0,64173.619451929684,260.0,stop_loss,137.6136284579557,2.825,134.78862845795572,1780862400000
